INSERT INTO `products` (`id`, `name`, `desc`, `price`, `rrp`, `quantity`, `img`, `date_added`) VALUES
(451, 'Charcoal scrub', '', '29.99', '0.00', 10, '11.jpg', '2019-03-13 17:55:22'),
(452, 'Geisha soap', '', '14.99', '19.99', 34, '12.jpg', '2019-03-13 18:52:49'),
(453, 'Skinactive Facemask', '', '19.99', '0.00', 23, '13.jpg', '2019-03-13 18:47:56'),
(454, 'Garnier Daycream', '', '19.99', '0.00', 23, '14.jpg', '2019-03-13 18:47:56'),
(455, 'Garnier products', '', '69.99', '0.00', 7, '15.jpg', '2019-03-13 17:42:04'),
(456, 'Fitme foundation', '', '29.99', '0.00', 10, '16.jpg', '2019-03-13 17:55:22'),
(457, 'Miscellar cleansing water', '', '14.99', '19.99', 34, '17.jpg', '2019-03-13 18:52:49'),
(458, 'Huda lipstick', '', '19.99', '0.00', 23, '18.jpg', '2019-03-13 18:47:56'),
(459, 'Nivea daycream', '', '19.99', '0.00', 23, '19.jpg', '2019-03-13 18:47:56'),
(460, 'Hydrabomb facemask', '', '69.99', '0.00', 7, '20.jpg', '2019-03-13 17:42:04'),
(461, 'Beauty products', '', '29.99', '0.00', 10, '21.jpg', '2019-03-13 17:55:22'),
(462, 'Tooth Cleanser', '', '14.99', '19.99', 34, '22.jpg', '2019-03-13 18:52:49'),
(463, 'Garnier moisturizer', '', '19.99', '0.00', 23, '23.jpg', '2019-03-13 18:47:56'),
(464, 'Geisha blacksoap', '', '19.99', '0.00', 23, '24.jpg', '2019-03-13 18:47:56'),
(465, 'Geisha buy1get1free', '', '69.99', '0.00', 7, '25.jpg', '2019-03-13 17:42:04'),
(466, 'Miscellar Cleansing water pink', '', '29.99', '0.00', 10, '26.jpg', '2019-03-13 17:55:22'),
(467, 'Hydrabomb', '', '14.99', '19.99', 34, '27.jpg', '2019-03-13 18:52:49'),
(468, 'Miscellar Cleansing water yellow', '', '19.99', '0.00', 23, '28.jpg', '2019-03-13 18:47:56'),
(469, 'Geisha black soap 500g', '', '19.99', '0.00', 23, '29.jpg', '2019-03-13 18:47:56'),
(470, 'Hairspray', '', '69.99', '0.00', 7, '30.jpg', '2019-03-13 17:42:04'),
(471, 'Babycare oil', '', '29.99', '0.00', 10, 'Babycare.jpg', '2019-03-13 17:55:22'),
(472, 'Dettol showergel', '', '14.99', '19.99', 34, 'Bathing.jpg', '2019-03-13 18:52:49'),
(473, 'Axe deodrant', '', '19.99', '0.00', 23, 'Deodorants.jpg', '2019-03-13 18:47:56'),
(474, 'Creativex4', '', '19.99', '0.00', 23, 'Endurance.jpg', '2019-03-13 18:47:56'),
(475, 'Dentalcare kit', '', '69.99', '0.00', 7, 'Dentalcarekit.jpg', '2019-03-13 17:42:04'),
(476, 'Concealer', '', '29.99', '0.00', 10, 'Concealers.jpg', '2019-03-13 17:55:22'),
(477, 'Conditioner', '', '14.99', '19.99', 34, 'Conditioners.jpg', '2019-03-13 18:52:49'),
(478, 'Eyeshadow 3palletes', '', '19.99', '0.00', 23, 'Eyebrows.jpg', '2019-03-13 18:47:56'),
(479, 'Sanitizer spray', '', '19.99', '0.00', 23, 'Sanitizerspray.jpg', '2019-03-13 18:47:56'),
(480, 'Nivea moisturizers', '', '69.99', '0.00', 7, 'Moisturizers.jpg', '2019-03-13 17:42:04'),
(481, 'Nivea bodylotion', '', '29.99', '0.00', 10, 'Nivea.jpg', '2019-03-13 17:55:22'),
(482, 'Mouthwash', '', '14.99', '19.99', 34, 'Mouthwash.jpg', '2019-03-13 18:52:49'),
(483, 'Nailpolish', '', '19.99', '0.00', 23, 'Nailpolish.jpg', '2019-03-13 18:47:56'),
(484, 'Nailart', '', '19.99', '0.00', 23, 'Nailart.jpg', '2019-03-13 18:47:56'),
(485, 'Nailpolish remover', '', '69.99', '0.00', 7, 'Nailpolishremover.jpg', '2019-03-13 17:42:04'),
(486, 'Nail treatment', '', '29.99', '0.00', 10, 'Nailtreatment.jpg', '2019-03-13 17:55:22'),
(487, 'Protein', '', '14.99', '19.99', 34, 'Protein.jpg', '2019-03-13 18:52:49'),
(488, 'Pick and floss', '', '19.99', '0.00', 23, 'Picksfloss.jpg', '2019-03-13 18:47:56'),
(489, 'Revlon', '', '19.99', '0.00', 23, 'Revlon.jpg', '2019-03-13 18:47:56'),
(490, 'Baby cussons', '', '69.99', '0.00', 7, 'Cussons.jpg', '2019-03-13 17:42:04'),
(491, 'Piercing and tats', '', '29.99', '0.00', 10, 'Piercingtats.jpg', '2019-03-13 17:55:22'),
(492, 'Body Consious', '', '14.99', '19.99', 34, 'Bodyconcious.jpg', '2019-03-13 18:52:49'),
(493, 'Fastgrow and anabolic', '', '19.99', '0.00', 23, 'Carbmanagement.jpg', '2019-03-13 18:47:56'),
(494, 'Clinique', '', '19.99', '0.00', 23, 'Clinique.jpg', '2019-03-13 18:47:56'),
(495, 'Cream and moisturizers', '', '69.99', '0.00', 7, 'Creamandmoisturizers.jpg', '2019-03-13 17:42:04'),
(496, 'Detangler', '', '29.99', '0.00', 10, 'Detangler.jpg', '2019-03-13 17:55:22'),
(497, 'Dietary supplements', '', '14.99', '19.99', 34, 'Dietarysupps.jpg', '2019-03-13 18:52:49'),
(498, 'Eyeliner', '', '19.99', '0.00', 23, 'Eyeliner.jpg', '2019-03-13 18:47:56'),
(499, 'Cosmetic bag', '', '19.99', '0.00', 23, 'Cosmeticbag.jpg', '2019-03-13 18:47:56'),
(500, 'Fashion 10pcs makeupbrushes', '', '69.99', '0.00', 7, 'Fashion10pcsmakeupbrushes.jpg', '2019-03-13 17:42:04'),
(501, 'Fashion 12pcs makeupbrushes', '', '29.99', '0.00', 10, 'Fashion12pcsmakeupbrushes.jpg', '2019-03-13 17:55:22'),
(502, 'Fashion makeup spongepuff', '', '14.99', '19.99', 34, 'Fashionmakeupspengepuff.jpg', '2019-03-13 18:52:49'),
(503, 'Fatburners', '', '19.99', '0.00', 23, 'Fatburners.jpg', '2019-03-13 18:47:56'),
(504, 'Gelhand sanitizer', '', '19.99', '0.00', 23, 'Gelhandsanitizer.jpg', '2019-03-13 18:47:56'),
(505, 'Feminine care', '', '69.99', '0.00', 7, 'Femininecare.jpg', '2019-03-13 17:42:04'),
(506, 'Foundation', '', '29.99', '0.00', 10, 'Foundation.jpg', '2019-03-13 17:55:22'),
(507, 'Fragrances', '', '14.99', '19.99', 34, 'Fragrances.jpg', '2019-03-13 18:52:49'),
(508, 'Foundation powderbrush', '', '19.99', '0.00', 23, 'Foundationpowderbrush.jpg', '2019-03-13 18:47:56'),
(509, 'Generic 20pcs makeupbrush', '', '19.99', '0.00', 23, 'Generic20pcsmakeupbrush.jpg', '2019-03-13 18:47:56'),
(510, 'Glowup', '', '69.99', '0.00', 7, 'Glowup.jpg', '2019-03-13 17:42:04'),
(511, 'Hair colouring', '', '29.99', '0.00', 10, 'Haircolouring.jpg', '2019-03-13 17:55:22'),
(512, 'Hair cutting', '', '14.99', '19.99', 34, 'Haircutting.jpg', '2019-03-13 18:52:49'),
(513, 'Hair loss', '', '19.99', '0.00', 23, 'Hairloss.jpg', '2019-03-13 18:47:56'),
(514, 'Hair styling', '', '19.99', '0.00', 23, 'Hairstyling.jpg', '2019-03-13 18:47:56'),
(515, 'Fashion printed cosmeticbag', '', '69.99', '0.00', 7, 'Fashionprintedcosmeticbag.jpg', '2019-03-13 17:42:04'),
(516, 'Loreal', '', '29.99', '0.00', 10, 'Loreal.jpg', '2019-03-13 17:55:22'),
(517, 'Lipcare', '', '14.99', '19.99', 34, 'Lipcare.jpg', '2019-03-13 18:52:49'),
(518, 'Mac', '', '19.99', '0.00', 23, 'Mac.jpg', '2019-03-13 18:47:56'),
(519, 'Makeup bag', '', '19.99', '0.00', 23, 'Makeupbag.jpg', '2019-03-13 18:47:56'),
(520, 'Marini', '', '69.99', '0.00', 7, 'Marini.jpg', '2019-03-13 17:42:04'),
(521, 'Mascara', '', '29.99', '0.00', 10, 'Mascara.jpg', '2019-03-13 17:55:22'),
(522, 'Maskcare 2pcs', '', '14.99', '19.99', 34, 'Maskcare2pcs.jpg', '2019-03-13 18:52:49'),
(523, 'Maybelline concealer', '', '19.99', '0.00', 23, 'Maybellineconcealer.jpg', '2019-03-13 18:47:56'),
